Farm,Patch_No,YEAR,Shelter,Butts,ButtSp,Flowers,FlowerSp,PCSemi_Nat,Summ_Max,Butts_log
E4.11,P1,2007,6.0,4,1,1407,6,14.8,21.04,2.0947125472611012
E4.11,P2,2007,6.0,9,1,421,6,14.8,21.04,2.8934439858858716
E4.11,P3,2007,3.0,0,0,1,1,14.8,21.04,0.0
E4.11,P2,2008,6.0,7,3,0,0,14.8,20.70322581,2.644120761058629
E4.11,P3,2008,3.0,6,2,0,0,14.8,20.70322581,2.491779852644912
E4.12,P1,2007,1.5,3,2,160,4,7.7,18.6516129,1.8184464592320668
E4.12,P2,2007,0.0,5,3,1,1,7.7,18.6516129,2.312438341272753
E4.12,P3,2007,0.0,1,1,0,0,7.7,18.6516129,0.881373587019543
E4.12,P1,2008,1.5,2,2,15,4,7.7,18.87460317,1.4436354751788103
E4.12,P2,2008,0.0,8,3,54,3,7.7,18.87460317,2.7764722807237177
E4.12,P3,2008,0.0,8,4,88,2,7.7,18.87460317,2.7764722807237177
E4.13,P2,2007,0.0,4,3,624,7,26.4,19.17777778,2.0947125472611012
E4.13,P3,2007,1.5,4,2,1145,2,26.4,19.17777778,2.0947125472611012
E4.13,P1,2008,0.0,2,1,1108,11,26.4,19.3546875,1.4436354751788103
E4.13,P2,2008,0.0,3,2,244,7,26.4,19.3546875,1.8184464592320668
E4.13,P3,2008,0.0,11,4,645,8,26.4,19.3546875,3.093102195050827
E4.16,P1,2007,0.0,0,0,61,5,8.4,18.6516129,0.0
E4.16,P2,2007,0.0,1,1,162,7,8.4,18.6516129,0.881373587019543
E4.16,P3,2007,0.0,7,1,642,6,8.4,18.6516129,2.644120761058629
E4.16,P1,2008,0.0,0,0,0,0,8.4,18.87460317,0.0
E4.16,P2,2008,0.0,2,1,61,6,8.4,18.87460317,1.4436354751788103
E4.16,P3,2008,0.0,3,2,315,6,8.4,18.87460317,1.8184464592320668
E4.17,P1,2007,0.0,0,0,862,7,18.8,18.6516129,0.0
E4.17,P2,2007,0.0,0,0,934,6,18.8,18.6516129,0.0
E4.17,P1,2008,0.0,0,0,382,13,18.8,18.87460317,0.0
E4.19,P2,2007,3.0,9,4,639,5,11.0,18.6516129,2.8934439858858716
E4.19,P3,2007,3.0,6,3,0,0,11.0,18.6516129,2.491779852644912
E4.19,P1,2008,3.0,9,6,66,4,11.0,18.87460317,2.8934439858858716
E4.19,P3,2008,3.0,1,1,0,0,11.0,18.87460317,0.881373587019543
E4.2,P2,2007,1.5,11,5,1663,9,19.3,19.17777778,3.093102195050827
E4.2,P1,2008,0.0,1,1,626,7,19.3,19.3546875,0.881373587019543
E4.2,P2,2008,1.5,3,2,638,5,19.3,19.3546875,1.8184464592320668
E4.2,P3,2008,0.5,4,2,405,7,19.3,19.3546875,2.0947125472611012
E4.22,P3,2007,3.0,3,3,1632,8,11.8,19.17777778,1.8184464592320668
E4.22,P1,2008,3.0,3,2,394,5,11.8,19.3546875,1.8184464592320668
E4.22,P3,2008,3.0,11,6,687,6,11.8,19.3546875,3.093102195050827
E4.23,P1,2007,5.0,3,2,102,4,3.2,18.6516129,1.8184464592320668
E4.23,P2,2007,3.0,5,3,5,2,3.2,18.6516129,2.312438341272753
E4.23,P3,2007,0.0,3,2,68,6,3.2,18.6516129,1.8184464592320668
E4.23,P2,2008,5.0,10,4,860,9,3.2,18.87460317,2.99822295029797
E4.26,P1,2007,6.0,0,0,6,2,10.8,19.17777778,0.0
E4.26,P2,2007,3.5,5,2,715,5,10.8,19.17777778,2.312438341272753
E4.26,P3,2007,5.0,13,3,201,4,10.8,19.17777778,3.2595725562629214
E4.26,P1,2008,6.0,2,1,553,5,10.8,19.3546875,1.4436354751788103
E4.26,P3,2008,5.0,2,2,345,8,10.8,19.3546875,1.4436354751788103
E4.6,P1,2007,3.0,14,5,1052,4,7.8,19.2152,3.3334775868839928
E4.6,P2,2007,0.0,7,2,948,7,7.8,19.2152,2.644120761058629
E4.6,P3,2007,0.0,2,2,705,4,7.8,19.2152,1.4436354751788103
E4.6,P2,2008,0.0,10,4,280,5,7.8,19.7047619,2.99822295029797
E4.6,P3,2008,0.0,7,4,43,5,7.8,19.7047619,2.644120761058629
E4.7,P1,2007,0.0,11,6,211,8,5.1,19.2152,3.093102195050827
E4.7,P2,2007,0.5,6,3,1078,6,5.1,19.2152,2.491779852644912
E4.7,P3,2007,0.5,4,3,583,5,5.1,19.2152,2.0947125472611012
E4.7,P1,2008,0.0,1,1,0,0,5.1,19.7047619,0.881373587019543
E4.7,P2,2008,0.5,4,2,184,3,5.1,19.7047619,2.0947125472611012
W4.15,P1,2007,3.0,0,0,132,6,10.7,18.01935484,0.0
W4.15,P2,2007,3.0,2,2,831,7,10.7,18.01935484,1.4436354751788103
W4.15,P3,2007,5.0,7,3,25,3,10.7,18.01935484,2.644120761058629
W4.15,P1,2008,3.0,7,2,459,4,10.7,17.42,2.644120761058629
W4.15,P2,2008,3.0,2,2,763,3,10.7,17.42,1.4436354751788103
W4.15,P3,2008,5.0,6,2,52,3,10.7,17.42,2.491779852644912
W4.16,P1,2007,3.0,0,0,1169,8,16.9,18.62301587,0.0
W4.16,P2,2007,4.0,1,1,1441,5,16.9,18.62301587,0.881373587019543
W4.16,P1,2008,3.0,3,3,25,3,16.9,18.39193548,1.8184464592320668
W4.16,P2,2008,4.0,0,0,23,2,16.9,18.39193548,0.0
W4.18,P1,2007,3.0,5,4,1145,4,15.8,18.77096774,2.312438341272753
W4.18,P2,2007,3.0,2,1,785,5,15.8,18.77096774,1.4436354751788103
W4.18,P3,2007,1.5,2,2,1830,5,15.8,18.77096774,1.4436354751788103
W4.18,P1,2008,3.0,2,2,108,9,15.8,18.10327869,1.4436354751788103
W4.18,P2,2008,3.0,1,1,304,8,15.8,18.10327869,0.881373587019543
W4.18,P3,2008,1.5,3,1,483,7,15.8,18.10327869,1.8184464592320668
W4.20,P2,2007,3.0,0,0,1072,4,20.5,18.62301587,0.0
W4.20,P1,2008,3.0,9,2,419,7,20.5,18.39193548,2.8934439858858716
W4.20,P2,2008,3.0,7,1,303,5,20.5,18.39193548,2.644120761058629
W4.26,P1,2007,3.0,0,0,1274,9,8.3,18.0515873,0.0
W4.26,P2,2007,2.0,1,1,43,2,8.3,18.0515873,0.881373587019543
W4.26,P1,2008,3.0,0,0,915,5,8.3,17.58793103,0.0
W4.26,P2,2008,5.0,1,1,656,4,8.3,17.58793103,0.881373587019543
W4.29,P1,2007,3.0,1,1,1073,6,17.7,18.62301587,0.881373587019543
W4.29,P2,2007,3.0,12,1,1401,12,17.7,18.62301587,3.179785437699879
W4.29,P1,2008,3.0,0,0,12,3,17.7,18.39193548,0.0
W4.29,P2,2008,3.0,4,1,161,7,17.7,18.39193548,2.0947125472611012
W4.30,P1,2007,2.5,1,1,976,4,8.5,18.62301587,0.881373587019543
W4.30,P2,2007,1.0,4,3,141,9,8.5,18.62301587,2.0947125472611012
W4.30,P1,2008,2.5,3,2,544,8,8.5,18.39193548,1.8184464592320668
W4.30,P2,2008,1.0,0,0,196,7,8.5,18.39193548,0.0
W4.35,P1,2007,3.0,2,1,521,9,24.5,18.62301587,1.4436354751788103
W4.35,P2,2007,1.0,2,2,95,5,24.5,18.62301587,1.4436354751788103
W4.35,P1,2008,3.0,1,1,45,4,24.5,18.39193548,0.881373587019543
W4.35,P2,2008,1.0,0,0,0,0,24.5,18.39193548,0.0
W4.37,P1,2007,3.5,4,2,1670,3,10.4,18.77096774,2.0947125472611012
W4.37,P1,2008,3.5,4,2,64,6,10.4,18.10327869,2.0947125472611012
W4.46,P1,2008,3.0,0,0,956,9,14.7,18.39193548,0.0
W4.5,P1,2007,3.5,0,0,308,2,7.5,19.06612903,0.0
W4.5,P2,2007,3.0,7,3,715,13,7.5,19.06612903,2.644120761058629
W4.5,P3,2007,0.0,4,2,1166,8,7.5,19.06612903,2.0947125472611012
W4.5,P1,2008,3.5,1,1,18,1,7.5,18.609375,0.881373587019543
W4.5,P2,2008,3.0,5,2,213,11,7.5,18.609375,2.312438341272753
W4.5,P3,2008,0.0,0,0,59,3,7.5,18.609375,0.0
W4.8,P1,2007,2.0,5,2,92,3,9.3,18.0515873,2.312438341272753
W4.8,P2,2007,2.5,4,2,88,3,9.3,18.0515873,2.0947125472611012
W4.8,P1,2008,2.0,6,2,10,4,9.3,17.58793103,2.491779852644912
W4.8,P2,2008,2.5,4,2,9,2,9.3,17.58793103,2.0947125472611012
