Farm,Region,Patch_No,YEAR,Shelter,Butts,ButtSp,Flowers,FlowerSp,Concerns,Experience,Motivation,PCSemi_Nat,NBN,Temp,Wind,Summ_Max
E4.11,L1,P1,2007,6,4,1,1407,6,3.33,2,s2,14.8,24,22.75,2,21.04
E4.11,L1,P2,2007,6,9,1,421,6,3.33,2,s2,14.8,24,23,2,21.04
E4.11,L1,P3,2007,3,0,0,1,1,3.33,2,s2,14.8,24,22.5,2.25,21.04
E4.11,L1,P1,2008,6,25,4,29,3,3.33,2,s2,14.8,24,21,0.833333333,20.70322581
E4.11,L1,P2,2008,6,7,3,0,0,3.33,2,s2,14.8,24,21,1.5,20.70322581
E4.11,L1,P3,2008,3,6,2,0,0,3.33,2,s2,14.8,24,21,1.75,20.70322581
E4.12,L1,P1,2007,1.5,3,2,160,4,3.33,3,s2,7.7,17,17.5,4,18.6516129
E4.12,L1,P2,2007,0,5,3,1,1,3.33,3,s2,7.7,17,22.5,2.5,18.6516129
E4.12,L1,P3,2007,0,1,1,0,0,3.33,3,s2,7.7,17,22.5,2.75,18.6516129
E4.12,L1,P1,2008,1.5,2,2,15,4,3.33,3,s2,7.7,17,18.75,5,18.87460317
E4.12,L1,P2,2008,0,8,3,54,3,3.33,3,s2,7.7,17,23.5,5,18.87460317
E4.12,L1,P3,2008,0,8,4,88,2,3.33,3,s2,7.7,17,23,5,18.87460317
E4.13,L1,P1,2007,0,2,2,2751,3,5,2,s2,26.4,27,20,3,19.17777778
E4.13,L1,P2,2007,0,4,3,624,7,5,2,s2,26.4,27,17,2,19.17777778
E4.13,L1,P3,2007,1.5,4,2,1145,2,5,2,s2,26.4,27,19.75,2.5,19.17777778
E4.13,L1,P1,2008,0,2,1,1108,11,5,2,s2,26.4,27,21,5,19.3546875
E4.13,L1,P2,2008,0,3,2,244,7,5,2,s2,26.4,27,22.66666667,2.666666667,19.3546875
E4.13,L1,P3,2008,0,11,4,645,8,5,2,s2,26.4,27,20.5,2.25,19.3546875
