Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),12997688.28,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),1356869.48,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),145680.55,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),4032742.686,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.4393,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1208,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.0266,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.2153,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2010,Land area (thousand hectares),12995614.99,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),1347680.89,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),158259.18,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),4015672.963,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.3703,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2178,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),30.9002,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8525,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2017,Land area (thousand hectares),13002855.21,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (thousand hectares),1390698.806,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (thousand hectares),167877.4475,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Forest cover (thousand hectares),3999133.622,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (% of total land area),10.6953,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (% of total land area),1.2911,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
